sales,TV,radio,newspaper
22.1,230.1,37.8,69.2
10.4,44.5,39.3,45.1
9.3,17.2,45.9,69.3
18.5,151.5,41.3,58.5
12.9,180.8,10.8,58.4
7.2,8.7,48.9,75
11.8,57.5,32.8,23.5
13.2,120.2,19.6,11.6
4.8,8.6,2.1,1
10.6,199.8,2.6,21.2
8.6,66.1,5.8,24.2
17.4,214.7,24,4
9.2,23.8,35.1,65.9
9.7,97.5,7.6,7.2
19,204.1,32.9,46
22.4,195.4,47.7,52.9
12.5,67.8,36.6,114
24.4,281.4,39.6,55.8
11.3,69.2,20.5,18.3
14.6,147.3,23.9,19.1
18,218.4,27.7,53.4
12.5,237.4,5.1,23.5
5.6,13.2,15.9,49.6
15.5,228.3,16.9,26.2
9.7,62.3,12.6,18.3
12,262.9,3.5,19.5
15,142.9,29.3,12.6
15.9,240.1,16.7,22.9
18.9,248.8,27.1,22.9
10.5,70.6,16,40.8
21.4,292.9,28.3,43.2
11.9,112.9,17.4,38.6
9.6,97.2,1.5,30
17.4,265.6,20,0.3
9.5,95.7,1.4,7.4
12.8,290.7,4.1,8.5
25.4,266.9,43.8,5
14.7,74.7,49.4,45.7
10.1,43.1,26.7,35.1
21.5,228,37.7,32
16.6,202.5,22.3,31.6
17.1,177,33.4,38.7
20.7,293.6,27.7,1.8
12.9,206.9,8.4,26.4
8.5,25.1,25.7,43.3
14.9,175.1,22.5,31.5
10.6,89.7,9.9,35.7
23.2,239.9,41.5,18.5
14.8,227.2,15.8,49.9
9.7,66.9,11.7,36.8
11.4,199.8,3.1,34.6
10.7,100.4,9.6,3.6
22.6,216.4,41.7,39.6
21.2,182.6,46.2,58.7
20.2,262.7,28.8,15.9
23.7,198.9,49.4,60
5.5,7.3,28.1,41.4
13.2,136.2,19.2,16.6
23.8,210.8,49.6,37.7
18.4,210.7,29.5,9.3
8.1,53.5,2,21.4
24.2,261.3,42.7,54.7
15.7,239.3,15.5,27.3
14,102.7,29.6,8.4
18,131.1,42.8,28.9
9.3,69,9.3,0.9
9.5,31.5,24.6,2.2
13.4,139.3,14.5,10.2
18.9,237.4,27.5,11
22.3,216.8,43.9,27.2
18.3,199.1,30.6,38.7
12.4,109.8,14.3,31.7
8.8,26.8,33,19.3
11,129.4,5.7,31.3
17,213.4,24.6,13.1
8.7,16.9,43.7,89.4
6.9,27.5,1.6,20.7
14.2,120.5,28.5,14.2
5.3,5.4,29.9,9.4
11,116,7.7,23.1
11.8,76.4,26.7,22.3
12.3,239.8,4.1,36.9
11.3,75.3,20.3,32.5
13.6,68.4,44.5,35.6
21.7,213.5,43,33.8
15.2,193.2,18.4,65.7
12,76.3,27.5,16
16,110.7,40.6,63.2
12.9,88.3,25.5,73.4
16.7,109.8,47.8,51.4
11.2,134.3,4.9,9.3
7.3,28.6,1.5,33
19.4,217.7,33.5,59
22.2,250.9,36.5,72.3
11.5,107.4,14,10.9
16.9,163.3,31.6,52.9
11.7,197.6,3.5,5.9
15.5,184.9,21,22
25.4,289.7,42.3,51.2
